labels,posts,,
Free,Filannoo bara 2normal12 kanaaf paartileen Siyaasaa 74 Boordii Filannoo Biyyaalessaa irraa beekamtii argatanii waraqaan ragaa kennameeraaf jedhan,,
Free, Mana hidhaa kana keessatti akki nuti itti qabsaauu dandeenyuufi Meeshan nuti of harkaa qabnu tokkitti lubbuu keenya Oromoof kennuudhaani,,
Free, Kanneen dhimma Itoophiyaa dhiheenyaan hordofan biratti imalli Ambaasaaddar Giitaa Paasi akka tarkaanfii ijaaraatti ilaalame,,
Free,Dhugaa keetii obbo baqqalaa,,
Hate,Kantiibaa Magaalaa Finfinnee Aadde Adaabech Abeebeerratti yakka isiin quba hin qabneen olola kijibaatiin maqaa isii balleessee guyyaa kaleessaa qabamee hidhamee kan ture gazexeessaan Tamsgeen Dassaaleny gareen isaa kaleessaa eegalanii iyyaafii turan guyyaa harraa mana hidhaatii hiikameera Kan isaaf roobe gariifis haqacacu jenna,,
Hate,Girrisaan atti baantu sun hoo,,
Free,Obbo Taayyeen ummanni magaalaa Adaamaa ani magaalaa koo nan qulqulleessa jechuun tolaan hirmaachuuf qophaauutti gammaduu ibsaniiru,,
Hate,islaamni ergamtuu ISIS jawaariin bulaa ummata ortodoksii ollaa jaraa ajjeesaa jiru,,
Hate,salphinni keessan gaafuma sabboonummaa arrabsitaniidha ammammoo gaafa nuti qomcoota oromiyaa keessaa buqqisnee balleessinu maal jettuu teessu,,
Free,ummata itoophiya,,
Free,Uummata nagaatu haleelamee  Eenyummoo maraataadha torban darbe gadda keessan ibsitaniittuu  ,,
Hate,Nonsense    Diqaalaa ,,
Hate,Mojji Hadhakeeti Maqaa Oromoo Waamuun Si Barbaachisu Ilma amaaraa,,
Free,Barsiisota Afaan Ingiliffaa kutaa 7 fi 8 barsiisaniif guyyaa marsaa jalqabaaf guyyaa 1normalf kennamaa jira.,,
Free,Abiyyi ahmad,,
Free,ijoolleen  Abbaa  Gadaa  keenna waqayyoo  isaanii  keenneen  malee   sieesituu  fudhatanii  miti  waggaa    dura  irraa  kasanii  hanga  arrattii  alaabaa  biyyaa  keenyaa  Addunyaatti  kan  beeksiisaan   qoraatamuun  gariidha  buaa  malee  midhaa  hin  qabu    ,,
Hate,Yooyyaa waraabo,,
Hate,Ni balaxxagdan moo akkami waan ummata fayyadu yoo gabaastan hin wayyuu kana gabaasuf miidiyaan amaaraatuu gahaa oli,,
Free,Fakkeenyaaf ani dhukkuba tiruu HCV virus jedhamu irrattin qorannoo koo hojjechaa jira.,,
Free,Naannoo Oromiyaatti qonna Arfaasaa fi Gannaan oomishaa fi oomishtummaa dabaluuf hojjetamaa jira jedhame\nFinfinnee Bitootessa 2 2013 (FBC) Ã¢â‚¬â€œ Biiroon Qonnaa fi Qabeenya Uumama Oromiyaa Qonna Arfaasaa fi Gannaan oomishaa fi oomishtummaa qonnaan bultootaa dabaluuf hojjetamaa jiraachuu beeksiise,,
Hate,Afuuftun afuuftudha gadheen akkakee maalitti beekti,,
Free,Dhimma waldhaansa hidhamtoota siyaasa Oromoo lagannaa nyaataa geggeessaa jiranii ilaalchisuun ajaja manni Murtii Waliigala Federaalaa kenne hojiitti hiikuun rakkisaa tauusaafi hanga yoonaas yaalli fayyaa isaan argatan dhibuusaa sababeeffatee gurmuun Abukaattotaa guyyaa haraa oliyyannoo Mana murtii Waliigalaa Federaalaa Dhaddacha Ijibbaataattii dhiheeffachuu isaanii Abukaattoon hidhamtoota siyaasaa Obbo Mohammad Jimaa OMN-tti himan,,
Free,Erga waaee tokkummaa dubbattee fayyaarta fakkaata,,
Free,Paartii Badhaadhinaa damee Oromiyaatti hogganaan sabqunnamtii Obbo Taayyee danda'aa fuul feesbuukii isaaniirrattii ganama kan barreefama maxxansaniin aangoon siidaa dhaabuu kan mootummaa waan ta'eef sagantaan Gudar dhorkamuu waan akeeku barreesaniiru.,,
Free,6. Sochii Bilisummaa Ummata Gaambeellaa ,,
Hate,"Qorannoon aantiiboodii dhukkubsattoota keessatti suuraa guutuu vaayirasichi hammam akka tamsa'eefi wantoota biroo, humna ajjeessuusaa fa'a beekuu nu dandeesisa, jedhan Dr Maayik.",,
Free,Dhibeen Koranaa vaayirasii jedhamu erga namoota dhibba tokkoo ol ta'an ajjeesee biyyoota addunyaatti tatamsa'aa jira jedhameen lammiin Keeniyaa tokko mallattoo dhibee kanaan shakkamee qofaatti adda baasuun qorannoon taasifamaaf jiraachuun ibsameera.,,
Hate,Obbo Shimallis Dargaggeessa Qeerroo ilaalcha qeerroo qabuu fi  Nama Murtii Jabaa yeroo isaa eegee fudhatuudha onnee Gootaa qaba Ummata oromoo Miliyoona  ol qabatee tarsimoo leegaasii Lammaa Magarsaatiin hogganamee faayidaa ummata oromoo mirkaneessuu akka dandau abdii sirraa qabana Hattuu fi Saamtuu akkasumas gaggeessitoota OPDO kan ODP Tauu dadhaban karaa irraa maqsuun jijjiirama fiduu ni dandeetta jedhee amana bara hojii gaarii siif hawwa,,
Hate,Otuma isa isheen gadi xeebdu kana dhagahuu baatani,,
Hate,Silmiin qabsoo Oromoo siif fAkkaattota keeti qabsaayota keenya qqqaalii girrisaa jedhee kan moggaase atiifi fakkaAttonni kee harAs taanaan Cundhuuruma yoomillee nama taatAnii miila lamaan hin dhabbattan  gad deebituu wayii Kanuma,,
Free,Furtuun biyyaa tokkoo barsiisota waan taeef dursa fedhiin barsiisota guutu qabaafaanin callisanii miidiyaa gubbaatti odeessuu osoo hin taane qabatamaan hujiitti jijjiirudha Utuu barsiisan hin jirree Dokteeronni,,
Free,Yoo barbaanne mootummaa kana halkan tokkoon dhiiga dhaabna dhiigni kee haa dhaabbatu Jeneral,,
